ny_branch_row,full_branch_row,branch_key,source_branch_row,source_device_key,source_from_bus,source_to_bus,from_bus,to_bus,electrical_role,source_device_role,r_pu,x_pu,b_pu,tap,shift_degree,status,online,base_mva,from_base_kv,to_base_kv,from_vm_pu,to_vm_pu,from_solved_line_line_kv,to_solved_line_line_kv,rate_a_mva,rate_b_mva,rate_c_mva,from_apparent_power_mva,to_apparent_power_mva,from_terminal_rms_amp,to_terminal_rms_amp,power_flow_audit_passed,thermal_eligible,dlr_eligible,current_interpretation,rate_a_applies_both_terminals,from_loading_percent,to_loading_percent,current_formula,rating_interpretation
46,82,NPCC_S7:BRANCH_ROW:82,NaN,,NaN,NaN,67,70,inherited_NPCC_or_S7_equivalent,,0.007,0.0619,0.12,0,0,1,1,100,230,230,1.01991138297488,1.05566263586885,234.579618084223,242.802406249835,2500,0,0,68.3861403007146,59.1615010975341,168.312817771241,140.67780098183,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.73544561202858,2.36646004390136,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
47,84,NPCC_S7:BRANCH_ROW:84,NaN,,NaN,NaN,68,71,inherited_NPCC_or_S7_equivalent,,0.1203,0.2048,0.07,0,0,1,1,100,115,115,1.09999999132063,1.07945318975791,126.499999001872,124.13711682216,2500,0,0,74.1251467395826,77.7547583194662,338.309674003911,361.630202116185,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.9650058695833,3.11019033277865,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
48,85,NPCC_S7:BRANCH_ROW:85,NaN,,NaN,NaN,69,71,inherited_transformer_or_machine_connection_equivalent,,0,0.0375,0,0,0,1,1,100,345,115,1.04535656716838,1.07945318975791,360.648015673092,124.13711682216,2500,0,0,435.234194632754,449.430323052981,696.752979391199,2090.2589381736,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,17.4093677853101,17.9772129221193,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
49,86,NPCC_S7:BRANCH_ROW:86,NaN,,NaN,NaN,70,71,inherited_transformer_or_machine_connection_equivalent,,0,0.049,0,0,0,1,1,100,230,115,1.05566263586885,1.07945318975791,242.802406249835,124.13711682216,2500,0,0,59.1615010975347,60.4947725729056,140.677800981831,281.355601963662,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.36646004390139,2.41979090291622,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
50,87,NPCC_S7:BRANCH_ROW:87,NaN,,NaN,NaN,71,72,inherited_NPCC_or_S7_equivalent,,0.0053,0.0135,0.1,0,0,1,1,100,115,115,1.07945318975791,1.05654050327307,124.13711682216,121.502157876403,2500,0,0,547.097267133488,534.842444948329,2544.49887784121,2541.4481105683,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,21.8838906853395,21.3936977979332,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
51,88,NPCC_S7:BRANCH_ROW:88,NaN,,NaN,NaN,73,74,inherited_NPCC_or_S7_equivalent,,0.0022,0.0196,0.34,0,0,0,0,100,345,345,1.07330656808967,1.09319821419221,370.290765990936,377.153383896312,1599.84337349398,1599.84337349398,1599.84337349398,0,0,0,0,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,0,0,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
52,89,NPCC_S7:BRANCH_ROW:89,NaN,,NaN,NaN,73,74,inherited_NPCC_or_S7_equivalent,,0.0022,0.0196,0.34,0,0,0,0,100,345,345,1.07330656808967,1.09319821419221,370.290765990936,377.153383896312,1599.84337349398,1599.84337349398,1599.84337349398,0,0,0,0,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,0,0,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
53,90,NPCC_S7:BRANCH_ROW:90,NaN,,NaN,NaN,74,77,inherited_NPCC_or_S7_equivalent,,0.0003,0.0043,0.08,0,0,1,1,100,345,345,1.09319821419221,1.09583190702919,377.153383896312,378.062007925071,2500,0,0,276.499134096557,274.192903954999,423.267711009677,418.728524924089,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,11.0599653638623,10.9677161582,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
54,91,NPCC_S7:BRANCH_ROW:91,NaN,,NaN,NaN,74,78,inherited_NPCC_or_S7_equivalent,,0.0005,0.0045,0.32,0,0,1,1,100,345,345,1.09319821419221,1.09774525035551,377.153383896312,378.72211137265,2889.50495049505,2889.50495049505,2889.50495049505,435.33545137791,431.549946212843,666.415974965569,657.88468677392,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,15.0660912106527,14.935082431297,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
55,92,NPCC_S7:BRANCH_ROW:92,NaN,,NaN,NaN,74,78,inherited_NPCC_or_S7_equivalent,,0.0005,0.0045,0.32,0,0,1,1,100,345,345,1.09319821419221,1.09774525035551,377.153383896312,378.72211137265,2889.50495049505,2889.50495049505,2889.50495049505,435.33545137791,431.549946212843,666.415974965569,657.88468677392,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,15.0660912106527,14.935082431297,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
56,94,NPCC_S7:BRANCH_ROW:94,NaN,,NaN,NaN,76,77,inherited_NPCC_or_S7_equivalent,,0.003,0.0068,1.37,0,0,0,0,100,345,345,1.09706644557222,1.09583190702919,378.487923722417,378.062007925071,4611.31325301205,4611.31325301205,4611.31325301205,0,0,0,0,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,0,0,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
57,95,NPCC_S7:BRANCH_ROW:95,NaN,,NaN,NaN,78,79,inherited_transformer_or_machine_connection_equivalent,,0.0003,0.0153,0,0,0,1,1,100,345,22,1.09774525035551,1.09999998938723,378.72211137265,24.199999766519,908.848753535103,908.848753535103,908.848753535103,597.817191127256,599.045091456801,911.354013560332,14291.6879399234,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,65.7774122263971,65.9125172507225,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
58,96,NPCC_S7:BRANCH_ROW:96,NaN,,NaN,NaN,78,80,inherited_transformer_or_machine_connection_equivalent,,0.0135,0.0582,0.5,0,0,1,1,100,345,138,1.09774525035551,1.09999997004214,378.72211137265,151.799995865816,984.654731457801,984.654731457801,984.654731457801,155.790208633194,168.12448241407,237.497405592405,639.43819382533,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,15.8218107988516,17.0744604217925,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
59,97,NPCC_S7:BRANCH_ROW:97,NaN,,NaN,NaN,78,81,inherited_NPCC_or_S7_equivalent,,0.0005,0.0276,0,0,0,1,1,100,345,345,1.09774525035551,1.08974350468523,378.72211137265,375.961509116404,503.818330764024,503.818330764024,503.818330764024,87.679271519542,87.0401549020686,133.664366283457,133.664366283457,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,17.4029538358756,17.2760992578565,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
60,98,NPCC_S7:BRANCH_ROW:98,NaN,,NaN,NaN,78,82,inherited_transformer_or_machine_connection_equivalent,,0.0005,0.0308,0,0,0,1,1,100,345,22,1.09774525035551,1.09999998676356,378.72211137265,24.1999997087984,451.473569126203,451.473569126203,451.473569126203,280.722515932861,281.299111711372,427.952884910778,6711.07933155539,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,62.1791695306064,62.3068837132165,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
61,219,NPCC_S7:BRANCH_ROW:219,NaN,,NaN,NaN,40,41,inherited_transformer_or_machine_connection_equivalent,,0,0.0161,0,1,0,1,1,100,230,115,1.06299879490893,1.07384089005221,244.489722829054,123.491702356004,2500,0,0,174.631782254978,176.412945514351,412.384231645071,824.768463290142,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,6.98527129019913,7.05651782057403,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
62,220,NPCC_S7:BRANCH_ROW:220,NaN,,NaN,NaN,49,48,inherited_transformer_or_machine_connection_equivalent,,0.0156,0.1536,0,1,0,1,1,100,115,230,1.00232405687263,1.09999999286668,115.267266540352,252.999998359336,2500,0,0,191.132263495887,209.75799896299,957.34259250038,478.67129625019,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,7.64529053983548,8.39031995851958,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
63,222,NPCC_S7:BRANCH_ROW:222,NaN,,NaN,NaN,54,52,inherited_transformer_or_machine_connection_equivalent,,0.002,0.0233,0,1,0,1,1,100,230,345,1.09999999826913,1.01337858932902,252.999999601899,349.615613318511,4583.01611665388,4583.01611665388,4583.01611665388,1560.96830906374,1438.04715046855,3562.15602708508,2374.77068472339,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,34.05984769269,31.3777458744458,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
64,223,NPCC_S7:BRANCH_ROW:223,NaN,,NaN,NaN,54,55,inherited_transformer_or_machine_connection_equivalent,,0,0.013,0,1,0,1,1,100,230,230,1.09999999826913,1.09999994671738,252.999999601899,252.999987744998,2500,0,0,868.713490377302,868.713449664853,1982.41884706402,1982.41884706402,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,34.7485396150921,34.7485379865941,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
65,224,NPCC_S7:BRANCH_ROW:224,NaN,,NaN,NaN,56,57,inherited_transformer_or_machine_connection_equivalent,,0,0.142,0,1,0,1,1,100,230,115,1.07698542321737,1.08783281071547,247.706647339995,125.100773232279,2500,0,0,103.121032049202,104.159666156709,240.35267624853,480.70535249706,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,4.12484128196806,4.16638664626836,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
66,225,NPCC_S7:BRANCH_ROW:225,NaN,,NaN,NaN,58,59,inherited_transformer_or_machine_connection_equivalent,,0,0.0093,0,1,0,1,1,100,230,115,1.05027352245044,1.04321990561693,241.5629101636,119.970289145947,2500,0,0,735.7916067856,730.85004446623,1758.58736739605,3517.17473479209,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,29.431664271424,29.2340017786492,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
67,226,NPCC_S7:BRANCH_ROW:226,NaN,,NaN,NaN,60,61,inherited_transformer_or_machine_connection_equivalent,,0,0.064,0,1,0,1,1,100,230,115,1.0986023814734,1.05432545061322,252.678547738883,121.24742682052,2500,0,0,151.0431292936,144.955643679679,345.121468115372,690.242936230743,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,6.04172517174398,5.79822574718716,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
68,227,NPCC_S7:BRANCH_ROW:227,NaN,,NaN,NaN,75,76,inherited_transformer_or_machine_connection_equivalent,,0.0001,0.0074,0,1,0,1,1,100,138,345,1.09999965245992,1.09706644557222,151.799952039469,378.487923722417,2500,0,0,716.51344164995,714.602820898868,2725.16046847647,1090.06418739059,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,28.660537665998,28.5841128359547,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
69,234,NPCC_S7:BRANCH_ROW:234,NaN,,NaN,NaN,38,39,inherited_NPCC_or_S7_equivalent,,0.00131,0.01997,0.51614,0,0,1,1,100,345,345,1.0539597131169,1.0569798013766,363.616101025329,364.658031474927,1216,2454,1804,364.0293832357,366.334449408196,578.006479392462,580.004482895361,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,29.9366269108306,30.1261882737003,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
70,235,NPCC_S7:BRANCH_ROW:235,NaN,,NaN,NaN,73,9002,inherited_NPCC_or_S7_equivalent,,0.000405,0.006185,0.63943,0,0,0,0,100,345,345,1.07330656808967,1.08486574420006,370.290765990936,374.278681749021,2432,4908,3608,0,0,0,0,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,0,0,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
71,236,NPCC_S7:BRANCH_ROW:236,NaN,,NaN,NaN,9002,74,inherited_NPCC_or_S7_equivalent,,0.000185,0.002815,0.29107,0,0,0,0,100,345,345,1.08486574420006,1.09319821419221,374.278681749021,377.153383896312,2432,4908,3608,0,0,0,0,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,0,0,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
72,237,NPCC_S7:BRANCH_ROW:237,NaN,,NaN,NaN,74,78,inherited_NPCC_or_S7_equivalent,,0.0009,0.015,0,0,0,1,1,100,345,345,1.09319821419221,1.09774525035551,377.153383896312,378.72211137265,866.851485148515,866.851485148515,866.851485148515,130.250524405434,130.79228694865,199.388838967017,199.388838967017,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,15.0257023996583,15.0882001345642,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
73,238,NPCC_S7:BRANCH_ROW:238,NaN,,NaN,NaN,77,78,inherited_NPCC_or_S7_equivalent,,0.0012,0.02,0,0,0,1,1,100,345,345,1.09583190702919,1.09774525035551,378.062007925071,378.72211137265,650.138613861386,650.138613861386,650.138613861386,152.831443324816,153.098289928078,233.393657904154,233.393657904154,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,23.5075167151048,23.5485612858429,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
74,239,NPCC_S7:BRANCH_ROW:239,NaN,,NaN,NaN,78,81,inherited_NPCC_or_S7_equivalent,,0.00072,0.012,0,0,0,1,1,100,345,345,1.09774525035551,1.08974350468523,378.72211137265,375.961509116404,1158.78216075726,1158.78216075726,1158.78216075726,201.333338857134,199.865768697335,306.926513914674,306.926513914674,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,17.3745631987952,17.2479155673853,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
75,240,NPCC_S7:BRANCH_ROW:240,NaN,,NaN,NaN,78,79,inherited_transformer_or_machine_connection_equivalent,,0.0006,0.01,0,0,0,1,1,100,345,22,1.09774525035551,1.09999998938723,378.72211137265,24.199999766519,1390.53859290871,1390.53859290871,1390.53859290871,913.193841915161,915.069517349171,1392.13606657692,21831.2246804108,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,65.6719523335887,65.8068407461488,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
76,241,NPCC_S7:BRANCH_ROW:241,NaN,,NaN,NaN,78,82,inherited_transformer_or_machine_connection_equivalent,,0.0006,0.01,0,0,0,1,1,100,345,22,1.09774525035551,1.09999998676356,378.72211137265,24.1999997087984,1390.53859290871,1390.53859290871,1390.53859290871,863.186930537051,864.959891065561,1315.90206048509,20635.7368576071,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,62.0757262645584,62.2032279777472,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
77,242,NPCC_S7:BRANCH_ROW:242,NaN,,NaN,NaN,78,9003,inherited_NPCC_or_S7_equivalent,,0.0012,0.02,0,0,0,1,1,100,345,345,1.09774525035551,1.09906377078599,378.72211137265,379.177000921165,2865.3452685422,2865.3452685422,2865.3452685422,353.731722655955,354.156595824916,539.253186343201,539.253186343201,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,12.3451692380487,12.3599972301104,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
78,243,NPCC_S7:BRANCH_ROW:243,NaN,,NaN,NaN,9003,80,inherited_transformer_or_machine_connection_equivalent,,0.0012,0.02,0,0,0,1,1,100,345,138,1.09906377078599,1.09999997004214,379.177000921165,151.799995865816,5000,5000,5000,124.230373548887,124.336194872817,189.158201672917,472.895504182292,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.48460747097773,2.48672389745634,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
79,244,NPCC_S7:BRANCH_ROW:244,NaN,,NaN,NaN,81,80,inherited_transformer_or_machine_connection_equivalent,,0.0018,0.03,0,0,0,1,1,100,345,138,1.08974350468523,1.09999997004214,375.961509116404,151.799995865816,2950,2950,2950,391.22068818081,394.902785314661,600.783229550789,1501.95807387697,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,13.2617182434173,13.3865350954122,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
80,245,NPCC_S7:BRANCH_ROW:245,NaN,,NaN,NaN,39,9001,inherited_NPCC_or_S7_equivalent,,0.0021,0.035,0,0,0,1,1,100,345,345,1.0569798013766,1.06520951835352,364.658031474927,367.497283831964,5000,5000,5000,189.536545433452,191.01228993081,300.086563525474,300.086563525474,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,3.79073090866903,3.8202457986162,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
81,246,NPCC_S7:BRANCH_ROW:246,NaN,,NaN,NaN,9001,73,inherited_NPCC_or_S7_equivalent,,0.0015,0.025,0,0,0,1,1,100,345,345,1.06520951835352,1.07330656808967,367.497283831964,370.290765990936,5000,5000,5000,191.012289930809,192.464244673174,300.086563525473,300.086563525473,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,3.82024579861618,3.84928489346348,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
82,247,PERFORM2019:AC:651:858:1,1389,PERFORM2019:AC:651:858:1,651,858,73,858,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00035,0.00527,0.13611,0,0,1,1,100,345,345,1.07330656808967,1.07871363097406,370.290765990936,372.156202686049,1216,2454,1804,185.031811271848,177.209296888456,288.498055738879,274.916377916089,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,15.2164318480138,14.5731329678007,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
83,248,PERFORM2019:AC:651:858:2,1390,PERFORM2019:AC:651:858:2,651,858,73,858,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00035,0.00527,0.13612,0,0,1,1,100,345,345,1.07330656808967,1.07871363097406,370.290765990936,372.156202686049,1216,2454,1804,185.032145875148,177.208990828222,288.498577445935,274.915903104821,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,15.2164593647326,14.5731077983735,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
84,249,PERFORM2019:AC:651:902:1,1391,PERFORM2019:AC:651:902:1,651,902,73,9002,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00081,0.01237,0.31971,0,0,1,1,100,345,345,1.07330656808967,1.08486574420006,370.290765990936,374.278681749021,1216,2454,1804,185.361114645597,168.124273905604,289.011499251224,259.343103227559,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,15.2435127175655,13.8260093672372,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
85,250,PERFORM2019:AC:651:902:2,1392,PERFORM2019:AC:651:902:2,651,902,73,9002,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00081,0.01237,0.31972,0,0,1,1,100,345,345,1.07330656808967,1.08486574420006,370.290765990936,374.278681749021,1216,2454,1804,185.361449363227,168.124015639502,289.012021136541,259.342704834567,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,15.2435402436864,13.8259881282485,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
86,251,PERFORM2019:AC:858:902:1,1689,PERFORM2019:AC:858:902:1,858,902,858,9002,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00047,0.00713,0.18428,0,0,1,1,100,345,345,1.07871363097406,1.08486574420006,372.156202686049,374.278681749021,1216,2454,1804,177.20944991909,167.76748890337,274.916615322524,258.79273814633,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,14.5731455525567,13.7966684953429,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
87,252,PERFORM2019:AC:858:902:2,1690,PERFORM2019:AC:858:902:2,858,902,858,9002,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00047,0.00713,0.18426,0,0,1,1,100,345,345,1.07871363097406,1.08486574420006,372.156202686049,374.278681749021,1216,2454,1804,177.208837798623,167.768004274836,274.91566569999,258.793533141795,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,14.5730952137025,13.7967108778648,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
88,253,PERFORM2019:AC:897:902:1,1734,PERFORM2019:AC:897:902:1,902,897,9002,74,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00037,0.00563,0.14565,0,0,1,1,100,345,345,1.08486574420006,1.09319821419221,374.278681749021,377.153383896312,1216,2454,1804,335.894807587911,331.128845487167,518.14053815205,506.895433638811,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,27.6229282555848,27.2309905828262,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
89,254,PERFORM2019:AC:897:902:2,1735,PERFORM2019:AC:897:902:2,902,897,9002,74,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00037,0.00563,0.14542,0,0,1,1,100,345,345,1.08486574420006,1.09319821419221,374.278681749021,377.153383896312,1216,2454,1804,335.888874133826,331.1344597969,518.131385396416,506.904028081746,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,27.622440307058,27.2314522859293,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
90,255,PERFORM2019:AC:774:1519:1,1577,PERFORM2019:AC:774:1519:1,1519,774,76,774,source_AC_branch_electrical_copy,ac_branch_unresolved_line_cable_or_equivalent,0.00018,0.00276,0.07125,0,0,1,1,100,345,345,1.09706644557222,1.09683789627975,378.487923722417,378.409074216513,1216,2454,1804,208.83705992373,209.72133568161,318.562694360001,319.97824011299,1,0,0,source_branch_terminal_RMS_current_equipment_and_conductor_interpretation_unverified,1,17.1741003226752,17.2468203685535,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
